id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	4.62472677230835
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	5.125513553619385
0	chain armor	USG-R	chain armor is an armor that uses chains	0	5.4426350593566895
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	7.04820442199707
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	6.263855934143066
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	5.864717483520508
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	5.897104263305664
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	5.710341453552246
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	6.16834020614624
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	4.005037784576416
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	4.60662317276001
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	4.83355188369751
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	6.696257591247559
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	5.472358703613281
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	4.916118621826172
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	5.343511581420898
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	5.142884731292725
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	5.966463088989258
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	4.4998369216918945
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	5.111605167388916
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	5.633553981781006
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	6.850511074066162
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	5.954489707946777
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	5.639510154724121
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	5.728122234344482
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	5.703125
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	5.708592891693115
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.428797960281372
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	3.9886221885681152
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	4.078396797180176
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	5.32833194732666
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	4.420785903930664
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	3.8342132568359375
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	4.531177997589111
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	4.597921848297119
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	4.493666648864746
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	4.406661510467529
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	4.989314556121826
4	candy bar	USG-R	candy bar is a bar that uses candy	0	5.759583473205566
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	7.003108501434326
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	5.989089012145996
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	5.035682678222656
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	5.546968460083008
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	5.909282684326172
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	5.823505878448486
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	3.985318183898926
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	4.536443710327148
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	4.498176574707031
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	6.071845531463623
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	5.3506059646606445
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	4.878942012786865
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	5.061932563781738
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	5.247523784637451
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	5.308620452880859
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	3.9179258346557617
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	4.842537879943848
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	5.082441329956055
6	electron beam	PROD-R	electron beam is  a beam that electrons produce	0	5.956343650817871
6	electron beam	PRODUCTION	electron beam is a beam that produces electrons	0	5.2301926612854
6	electron beam	CONT-R	electron beam is a beam that contains electrons	0	4.662552833557129
6	electron beam	TOPIC-R	electron beam is a beam that is about electrons	0	5.266031742095947
6	electron beam	LOCATION	electron beam is  a beam that is located in electrons	0	5.572843074798584
6	electron beam	PURPOSE	electron beam is a beam intended for electrons	0	5.8040947914123535
7	steel beam	COMP-R	steel beam is a beam that is composed of steel	1	3.9902050495147705
7	steel beam	PARTONOMY	steel beam is a beam that is part of steel	0	4.967616558074951
7	steel beam	USG-R	steel beam is a beam that uses steel	0	5.173426151275635
7	steel beam	PROD-R	steel beam is  a beam that steel produces	0	7.093303203582764
7	steel beam	PRODUCTION	steel beam is a beam that produces steel	0	6.338626861572266
7	steel beam	CONT-R	steel beam is a beam that contains steel	0	5.3529815673828125
7	steel beam	TOPIC-R	steel beam is a beam that is about steel	0	5.795258522033691
7	steel beam	LOCATION	steel beam is  a beam that is located in steel	0	5.728140354156494
7	steel beam	PURPOSE	steel beam is a beam intended for steel	0	6.110507965087891
8	leather belt	COMP-R	leather belt is a belt that is composed of leather	1	4.397272109985352
8	leather belt	PARTONOMY	leather belt is a belt that is part of leather	0	5.221045970916748
8	leather belt	USG-R	leather belt is a belt that uses leather	0	5.1196160316467285
8	leather belt	PROD-R	leather belt is  a belt that leather produces	0	7.476289749145508
8	leather belt	PRODUCTION	leather belt is a belt that produces leather	0	6.389920234680176
8	leather belt	CONT-R	leather belt is a belt that contains leather	0	5.603043556213379
8	leather belt	TOPIC-R	leather belt is a belt that is about leather	0	6.290048122406006
8	leather belt	LOCATION	leather belt is  a belt that is located in leather	0	6.175759315490723
8	leather belt	PURPOSE	leather belt is a belt intended for leather	0	6.3081159591674805
9	concrete block	COMP-R	concrete block is a block that is composed of concrete	1	4.065993785858154
9	concrete block	PARTONOMY	concrete block is a block that is part of concrete	0	4.621470928192139
9	concrete block	USG-R	concrete block is a block that uses concrete	0	5.071587085723877
9	concrete block	PROD-R	concrete block is  a block that concrete produces	0	6.919044494628906
9	concrete block	PRODUCTION	concrete block is a block that produces concrete	0	5.431365013122559
9	concrete block	CONT-R	concrete block is a block that contains concrete	0	5.038363933563232
9	concrete block	TOPIC-R	concrete block is a block that is about concrete	0	5.788083076477051
9	concrete block	LOCATION	concrete block is  a block that is located in concrete	0	5.7166852951049805
9	concrete block	PURPOSE	concrete block is a block intended for concrete	0	5.885977745056152
10	corn bread	COMP-R	corn bread is a bread that is composed of corn	1	4.214913845062256
10	corn bread	PARTONOMY	corn bread is a bread that is part of corn	0	4.814858436584473
10	corn bread	USG-R	corn bread is a bread that uses corn	0	4.65688419342041
10	corn bread	PROD-R	corn bread is  a bread that corn produces	0	6.471617221832275
10	corn bread	PRODUCTION	corn bread is a bread that produces corn	0	5.8238444328308105
10	corn bread	CONT-R	corn bread is a bread that contains corn	0	4.693157196044922
10	corn bread	TOPIC-R	corn bread is a bread that is about corn	0	5.531422138214111
10	corn bread	LOCATION	corn bread is  a bread that is located in corn	0	5.383378505706787
10	corn bread	PURPOSE	corn bread is a bread intended for corn	0	6.129240036010742
11	gold bullion	COMP-R	gold bullion is a bullion that is composed of gold	1	3.364030599594116
11	gold bullion	PARTONOMY	gold bullion is a bullion that is part of gold	0	4.029685020446777
11	gold bullion	USG-R	gold bullion is a bullion that uses gold	0	4.314582347869873
11	gold bullion	PROD-R	gold bullion is  a bullion that gold produces	0	5.613595008850098
11	gold bullion	PRODUCTION	gold bullion is a bullion that produces gold	0	4.503904342651367
11	gold bullion	CONT-R	gold bullion is a bullion that contains gold	0	3.924323320388794
11	gold bullion	TOPIC-R	gold bullion is a bullion that is about gold	0	4.418752670288086
11	gold bullion	LOCATION	gold bullion is  a bullion that is located in gold	0	4.527047157287598
11	gold bullion	PURPOSE	gold bullion is a bullion intended for gold	0	4.765567302703857
12	peanut butter	COMP-R	peanut butter is a butter that is composed of peanuts	1	3.2601687908172607
12	peanut butter	PARTONOMY	peanut butter is a butter that is part of peanuts	0	3.6730053424835205
12	peanut butter	USG-R	peanut butter is a butter that uses peanuts	0	3.593120574951172
12	peanut butter	PROD-R	peanut butter is  a butter that peanuts produce	0	4.357298851013184
12	peanut butter	PRODUCTION	peanut butter is a butter that produces peanuts	0	4.0016913414001465
12	peanut butter	CONT-R	peanut butter is a butter that contains peanuts	0	3.402379035949707
12	peanut butter	TOPIC-R	peanut butter is a butter that is about peanuts	0	3.9306390285491943
12	peanut butter	LOCATION	peanut butter is  a butter that is located in peanuts	0	3.953972101211548
12	peanut butter	PURPOSE	peanut butter is a butter intended for peanuts	0	4.193264961242676
13	rice cake	COMP-R	rice cake is a cake that is composed of rice	1	4.306993007659912
13	rice cake	PARTONOMY	rice cake is a cake that is part of rice	0	5.019200801849365
