id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	4.523034572601318
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	4.9791178703308105
0	chain armor	USG-R	chain armor is an armor that uses chains	0	5.374342918395996
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	6.8687872886657715
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	6.1248555183410645
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	5.770657062530518
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	5.652415752410889
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	5.492321491241455
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	5.97194766998291
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	3.7815463542938232
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	4.30980920791626
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	4.555097579956055
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	5.943405628204346
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	5.188936233520508
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	4.633609294891357
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	4.996047019958496
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	5.005622863769531
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	5.5411176681518555
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	4.259053707122803
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	4.7165703773498535
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	5.193851470947266
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	6.2478814125061035
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	5.503055572509766
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	5.101152420043945
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	5.141115188598633
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	5.218801975250244
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	5.467796802520752
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.1601247787475586
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	3.5820608139038086
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	3.759843349456787
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	4.852971076965332
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	4.140536308288574
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	3.5062713623046875
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	3.984485387802124
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	4.2281107902526855
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	4.104766845703125
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	4.1290812492370605
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	4.602757453918457
4	candy bar	USG-R	candy bar is a bar that uses candy	0	5.064943313598633
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	6.392333507537842
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	5.299790859222412
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	4.64634895324707
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	4.916733741760254
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	5.382697582244873
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	5.430031776428223
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	3.5161867141723633
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	3.892925262451172
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	4.001885414123535
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	5.320958614349365
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	4.682429313659668
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	4.207866668701172
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	4.416443347930908
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	4.68506383895874
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	4.606716156005859
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	3.5391757488250732
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	4.277572154998779
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	4.50298547744751
6	electron beam	PROD-R	electron beam is  a beam that electrons produce	0	5.285026550292969
6	electron beam	PRODUCTION	electron beam is a beam that produces electrons	0	4.587443828582764
6	electron beam	CONT-R	electron beam is a beam that contains electrons	0	4.192314147949219
6	electron beam	TOPIC-R	electron beam is a beam that is about electrons	0	4.796258926391602
6	electron beam	LOCATION	electron beam is  a beam that is located in electrons	0	5.012211799621582
6	electron beam	PURPOSE	electron beam is a beam intended for electrons	0	5.397324085235596
7	steel beam	COMP-R	steel beam is a beam that is composed of steel	1	3.911529302597046
7	steel beam	PARTONOMY	steel beam is a beam that is part of steel	0	4.598577976226807
7	steel beam	USG-R	steel beam is a beam that uses steel	0	4.9110260009765625
7	steel beam	PROD-R	steel beam is  a beam that steel produces	0	6.589270114898682
7	steel beam	PRODUCTION	steel beam is a beam that produces steel	0	5.705757141113281
