id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	3.1708803176879883
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	3.899153470993042
0	chain armor	USG-R	chain armor is an armor that uses chains	0	4.029244422912598
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	6.386721611022949
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	4.803520202636719
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	4.108451843261719
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	4.613872051239014
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	5.000732421875
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	5.221786022186279
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	2.7430953979492188
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.3664064407348633
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.4140827655792236
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	5.410808563232422
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	4.042547702789307
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.552828073501587
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	3.7999377250671387
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	4.697749137878418
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	4.4280619621276855
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	3.028756856918335
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	3.4922759532928467
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	3.676464557647705
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	5.296394348144531
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	3.771550178527832
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	3.532210350036621
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	3.881549119949341
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	4.614753723144531
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.476471900939941
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.068790912628174
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	3.581008195877075
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	3.6973695755004883
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	5.504044532775879
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	3.8539764881134033
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	3.3563990592956543
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	3.8830559253692627
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	4.775132656097412
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	4.362595081329346
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	3.242260694503784
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	3.4887707233428955
4	candy bar	USG-R	candy bar is a bar that uses candy	0	3.806612253189087
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	5.603871822357178
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	4.0771379470825195
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	3.582610845565796
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	3.827664613723755
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	4.483193397521973
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	4.287456512451172
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	2.881838083267212
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	3.0722761154174805
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	3.2490925788879395
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	4.944622993469238
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	3.616191864013672
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	3.2618916034698486
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	3.5935730934143066
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	4.46298885345459
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	3.756894826889038
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	2.756195068359375
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	3.542306661605835
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	3.585855484008789
