id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	3.7299509048461914
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	4.5884881019592285
0	chain armor	USG-R	chain armor is an armor that uses chains	0	4.335141181945801
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	6.589907646179199
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	5.566997051239014
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	4.867021083831787
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	5.201144218444824
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	5.4064812660217285
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	6.039599895477295
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	2.4922468662261963
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.2945549488067627
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.266807794570923
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	5.557171821594238
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	4.118062973022461
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.37137508392334
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	4.039459228515625
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	4.619698524475098
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	4.142705917358398
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	3.8077409267425537
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	3.9639174938201904
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	4.560548782348633
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	5.646529197692871
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	4.737700462341309
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	4.437531471252441
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	4.589410781860352
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	4.724405765533447
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.794245719909668
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.949249267578125
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	4.510107517242432
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	4.889781951904297
