id	compound	class	paraphrase	correct	score
0	布鞋	COMP-R	布鞋是布做成的鞋	1	2.24363112449646
0	布鞋	CONT-R	布鞋是装布的鞋	0	5.3572492599487305
0	布鞋	CONT-R	布鞋是有布的鞋	0	4.811625957489014
0	布鞋	PARTONOMY	布鞋是布的鞋	0	5.081802845001221
0	布鞋	USG-R	布鞋是用布的鞋	0	3.3177218437194824
0	布鞋	PRODUCTION	布鞋是生产布的鞋	0	2.1082000732421875
0	布鞋	TOPIC-R	布鞋是关于布的鞋	0	3.6539928913116455
0	布鞋	PURPOSE	布鞋是为布设计的鞋	0	2.2651894092559814
0	布鞋	PURPOSE	布鞋是为布设立的鞋	0	3.427489757537842
0	布鞋	LOCATION	布鞋是在布上的鞋	0	4.659234046936035
0	布鞋	LOCATION	布鞋是在布边的鞋	0	4.0930376052856445
0	布鞋	LOCATION	布鞋是在布里的鞋	0	3.540712356567383
0	布鞋	LOCATION	布鞋是在布中的鞋	0	3.868354320526123
0	布鞋	PROD-R	布鞋是布产生的鞋	0	3.1919450759887695
0	布鞋	PROD-R	布鞋是布发出的鞋	0	4.460226058959961
1	钢板	COMP-R	钢板是钢做成的板	1	2.5105347633361816
1	钢板	CONT-R	钢板是装钢的板	0	4.768820762634277
1	钢板	CONT-R	钢板是有钢的板	0	3.8691020011901855
1	钢板	PARTONOMY	钢板是钢的板	0	3.8572094440460205
1	钢板	USG-R	钢板是用钢的板	0	3.3041188716888428
1	钢板	PRODUCTION	钢板是生产钢的板	0	2.154879093170166
1	钢板	TOPIC-R	钢板是关于钢的板	0	3.3883790969848633
1	钢板	PURPOSE	钢板是为钢设计的板	0	2.2999136447906494
1	钢板	PURPOSE	钢板是为钢设立的板	0	3.3748507499694824
1	钢板	LOCATION	钢板是在钢上的板	0	3.136446714401245
1	钢板	LOCATION	钢板是在钢边的板	0	4.047790050506592
1	钢板	LOCATION	钢板是在钢里的板	0	3.632838010787964
1	钢板	LOCATION	钢板是在钢中的板	0	3.224703788757324
1	钢板	PROD-R	钢板是钢产生的板	0	2.153207302093506
1	钢板	PROD-R	钢板是钢发出的板	0	3.164090633392334
2	铁道	COMP-R	铁道是铁做成的道	1	3.702932596206665
2	铁道	CONT-R	铁道是装铁的道	0	6.600203514099121
2	铁道	CONT-R	铁道是有铁的道	0	4.888377666473389
2	铁道	PARTONOMY	铁道是铁的道	0	4.974900722503662
2	铁道	USG-R	铁道是用铁的道	0	5.215348243713379
2	铁道	PRODUCTION	铁道是生产铁的道	0	3.733027219772339
2	铁道	TOPIC-R	铁道是关于铁的道	0	3.821362018585205
2	铁道	PURPOSE	铁道是为铁设计的道	0	3.894989490509033
2	铁道	PURPOSE	铁道是为铁设立的道	0	3.890056610107422
2	铁道	LOCATION	铁道是在铁上的道	0	5.056182861328125
2	铁道	LOCATION	铁道是在铁边的道	0	5.123969078063965
2	铁道	LOCATION	铁道是在铁里的道	0	5.2000956535339355
2	铁道	LOCATION	铁道是在铁中的道	0	4.99746036529541
2	铁道	PROD-R	铁道是铁产生的道	0	4.016373634338379
2	铁道	PROD-R	铁道是铁发出的道	0	5.328281402587891
