id	compound	class	paraphrase	correct	score
0	布鞋	COMP-R	布鞋是布做成的鞋	1	3.5346765518188477
0	布鞋	CONT-R	布鞋是装布的鞋	0	2.8806726932525635
0	布鞋	CONT-R	布鞋是有布的鞋	0	4.815718173980713
0	布鞋	PARTONOMY	布鞋是布的鞋	0	3.4104015827178955
0	布鞋	USG-R	布鞋是用布的鞋	0	2.8806726932525635
0	布鞋	PRODUCTION	布鞋是生产布的鞋	0	4.22465181350708
0	布鞋	TOPIC-R	布鞋是关于布的鞋	0	2.4648544788360596
0	布鞋	PURPOSE	布鞋是为布设计的鞋	0	2.1929430961608887
0	布鞋	PURPOSE	布鞋是为布设立的鞋	0	2.8688364028930664
0	布鞋	LOCATION	布鞋是在布上的鞋	0	3.088560104370117
0	布鞋	LOCATION	布鞋是在布边的鞋	0	2.4648544788360596
0	布鞋	LOCATION	布鞋是在布里的鞋	0	3.3913302421569824
0	布鞋	LOCATION	布鞋是在布中的鞋	0	3.2521793842315674
0	布鞋	PROD-R	布鞋是布产生的鞋	0	3.579345703125
0	布鞋	PROD-R	布鞋是布发出的鞋	0	2.7112770080566406
1	钢板	COMP-R	钢板是钢做成的板	1	3.5346765518188477
1	钢板	CONT-R	钢板是装钢的板	0	2.8806726932525635
1	钢板	CONT-R	钢板是有钢的板	0	4.815718173980713
1	钢板	PARTONOMY	钢板是钢的板	0	3.4104015827178955
1	钢板	USG-R	钢板是用钢的板	0	2.8806726932525635
1	钢板	PRODUCTION	钢板是生产钢的板	0	4.22465181350708
1	钢板	TOPIC-R	钢板是关于钢的板	0	2.4648544788360596
1	钢板	PURPOSE	钢板是为钢设计的板	0	2.1929430961608887
1	钢板	PURPOSE	钢板是为钢设立的板	0	2.8688364028930664
1	钢板	LOCATION	钢板是在钢上的板	0	3.088560104370117
1	钢板	LOCATION	钢板是在钢边的板	0	2.4648544788360596
1	钢板	LOCATION	钢板是在钢里的板	0	3.3913302421569824
1	钢板	LOCATION	钢板是在钢中的板	0	3.2521793842315674
1	钢板	PROD-R	钢板是钢产生的板	0	3.579345703125
1	钢板	PROD-R	钢板是钢发出的板	0	2.7112770080566406
2	铁道	COMP-R	铁道是铁做成的道	1	5.639132499694824
2	铁道	CONT-R	铁道是装铁的道	0	4.715108394622803
2	铁道	CONT-R	铁道是有铁的道	0	6.367319583892822
2	铁道	PARTONOMY	铁道是铁的道	0	5.453088760375977
2	铁道	USG-R	铁道是用铁的道	0	4.715108394622803
