id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	3.304670810699463
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	3.8235909938812256
0	chain armor	USG-R	chain armor is an armor that uses chains	0	4.023378372192383
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	3.541719913482666
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	4.067559719085693
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	4.0337090492248535
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	3.94665265083313
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	3.5466196537017822
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	4.132140636444092
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	2.4098057746887207
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.0125529766082764
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.125006675720215
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	3.1469264030456543
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	3.1299521923065186
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.187112808227539
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	3.1020548343658447
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	2.8138201236724854
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	3.3663523197174072
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	3.516784906387329
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	4.636660575866699
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	4.884604454040527
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	4.192531585693359
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	4.811066627502441
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	5.1043853759765625
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	4.437933921813965
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	3.9712133407592773
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.832405090332031
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	2.4143762588500977
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	3.0639426708221436
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	3.175872325897217
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	3.3442513942718506
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	3.479229688644409
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	3.159803628921509
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	2.722744941711426
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	2.809622287750244
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	3.1612489223480225
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	4.104084014892578
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	5.664523124694824
4	candy bar	USG-R	candy bar is a bar that uses candy	0	5.543723106384277
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	5.1413655281066895
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	6.032670021057129
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	5.708050727844238
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	5.251588821411133
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	4.654968738555908
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	5.366564750671387
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	2.8607630729675293
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	3.720426321029663
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	3.3716588020324707
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	3.2129204273223877
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	3.58410906791687
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	3.7588751316070557
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	3.3438990116119385
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	3.055699348449707
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	3.6356730461120605
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	2.7363789081573486
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	3.4916534423828125
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	3.3854804039001465
6	electron beam	PROD-R	electron beam is  a beam that electrons produce	0	3.07200288772583
6	electron beam	PRODUCTION	electron beam is a beam that produces electrons	0	3.2944233417510986
6	electron beam	CONT-R	electron beam is a beam that contains electrons	0	3.506225824356079
6	electron beam	TOPIC-R	electron beam is a beam that is about electrons	0	3.2600300312042236
6	electron beam	LOCATION	electron beam is  a beam that is located in electrons	0	2.885505199432373
6	electron beam	PURPOSE	electron beam is a beam intended for electrons	0	2.9971442222595215
7	steel beam	COMP-R	steel beam is a beam that is composed of steel	1	2.3190903663635254
7	steel beam	PARTONOMY	steel beam is a beam that is part of steel	0	3.0916030406951904
