id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	2.04608416557312
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	2.660369396209717
0	chain armor	USG-R	chain armor is an armor that uses chains	0	1.9146549701690674
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	3.8685381412506104
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	2.8152427673339844
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	2.6728649139404297
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	3.7479352951049805
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	2.223127603530884
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	2.994255781173706
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	1.533224105834961
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	1.8993942737579346
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	1.6307373046875
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	1.7808057069778442
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	2.141932964324951
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	1.662482500076294
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	3.3441126346588135
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	2.2225849628448486
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	2.346421241760254
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	1.8523401021957397
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	2.32623291015625
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	1.7977594137191772
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	2.794191837310791
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	2.3263180255889893
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	2.29803466796875
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	3.700641632080078
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	2.27972674369812
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	3.0628888607025146
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	0.8421063423156738
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	1.3078792095184326
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	0.9752237200737
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	1.4310954809188843
