id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	2.9183132648468018
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	3.7243258953094482
0	chain armor	USG-R	chain armor is an armor that uses chains	0	3.1517815589904785
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	5.234124183654785
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	4.41517972946167
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	3.8054006099700928
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	4.854223251342773
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	3.5557732582092285
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	4.252231597900391
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	3.198901653289795
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.591355800628662
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.8196682929992676
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	4.0336103439331055
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	4.766017913818359
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.6992149353027344
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	5.092525005340576
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	3.5868442058563232
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	4.662376403808594
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	2.9003169536590576
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	3.428662061691284
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	4.008218288421631
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	4.384082317352295
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	4.6605024337768555
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	3.5355913639068604
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	5.245153427124023
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	3.1301958560943604
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.0720720291137695
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.770540237426758
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	4.130268573760986
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	4.404867172241211
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	3.1118993759155273
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	4.687154769897461
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	4.3582963943481445
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	5.28812837600708
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	4.2094831466674805
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	4.345945358276367
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	2.9208526611328125
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	3.0680384635925293
4	candy bar	USG-R	candy bar is a bar that uses candy	0	2.9813287258148193
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	3.5594429969787598
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	3.963942289352417
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	3.1988162994384766
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	3.862293243408203
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	3.088074207305908
